Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1371,9927,2011/08/16,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northern Cape,Western,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,2011/08/17
1372,9927,2011/08/16,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northern Cape,Western,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,2011/08/17
1380,10022,2013/03/04,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northern Cape,Western,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2013/03/04
1445,10437,2013/08/18,Critical,50,820.52,0.01,Regular Air,-191.22,15.99,13.18,Don Jones,Northern Cape,Western,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2013/08/20
1457,10499,2014/11/16,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northern Cape,Western,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,2014/11/17
1462,10535,2013/01/27,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northern Cape,Western,Corporate,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,2013/01/29
1463,10535,2013/01/27,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Northern Cape,Western,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,2013/02/03
1495,10789,2014/08/23,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northern Cape,Western,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2014/08/24
1496,10791,2011/08/19,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Northern Cape,Western,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,2011/08/21
1513,10945,2012/01/03,Medium,14,1170.025,0.04,Regular Air,4.22,95.99,8.99,Ralph Knight,Northern Cape,Western,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,2012/01/05
1544,11137,2012/11/29,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Northern Cape,Western,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,2012/11/30
1551,11202,2012/03/17,Medium,8,339.81,0.05,Regular Air,79.59,43.41,2.99,Barry Weirich,Northern Cape,Western,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,2012/03/18
1589,11456,2014/04/12,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northern Cape,Western,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,2014/04/19
1590,11460,2014/08/24,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northern Cape,Western,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,2014/08/26
1594,11495,2011/07/04,High,6,965.69,0,Delivery Truck,-144.20,146.34,43.75,Brendan Dodson,Northern Cape,Western,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,2011/07/05
1654,11911,2014/11/10,Critical,25,397.84,0,Regular Air,-14.75,15.22,9.73,Edward Hooks,Northern Cape,Western,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,2014/11/12
1655,11941,2014/06/24,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Northern Cape,Western,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,2014/06/25
1656,11941,2014/06/24,Critical,26,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Northern Cape,Western,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,2014/06/25
1675,12096,2012/09/19,Medium,46,8009.5925,0.02,Regular Air,2332.40,200.99,8.08,Michelle Lonsdale,Northern Cape,Western,Home Office,Technology,Telephones and Communication,5125,Small Box,0.59,2012/09/19
1676,12096,2012/09/19,Medium,23,4689.66,0.01,Regular Air,2176.19,194.3,11.54,Michelle Lonsdale,Northern Cape,Western,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,2012/09/21
1710,12289,2011/12/24,Low,25,3019.41,0.04,Regular Air,1269.05,120.97,7.11,Brendan Dodson,Northern Cape,Western,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,0.36,2011/12/28
1718,12352,2012/03/23,Medium,5,36.86,0.07,Regular Air,-32.82,5.81,8.49,Hunter Glantz,Northern Cape,Western,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,2012/03/24
1727,12419,2011/10/15,Critical,12,22079.47,0.06,Regular Air,5322.14,1938.02,13.99,Sylvia Foulston,Northern Cape,Western,Corporate,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Medium Box,0.38,2011/10/17
1745,12485,2014/08/07,Critical,24,5407.31,0.04,Delivery Truck,1068.48,226.67,28.16,Eugene Barchas,Northern Cape,Western,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,2014/08/08
1751,12544,2013/03/03,Low,34,74.3,0.08,Regular Air,-129.01,2.08,5.33,Jim Radford,Northern Cape,Western,Corporate,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Small Box,0.43,2013/03/10
